 [ 5.54168464e+00  5.53251378e+01]
 [ 5.22104632e+00  5.62723395e+01]
 [ 4.90042648e+00  5.72195475e+01]
 [ 4.58013469e+00  5.81668664e+01]
 [ 4.26052712e+00  5.91144164e+01]
 [ 3.94195965e+00  6.00623165e+01]
 [ 3.62462733e+00  6.10106308e+01]
 [ 3.30822117e+00  6.19592546e+01]
 [ 2.99232914e+00  6.29080497e+01]
 [ 2.67653932e+00  6.38568789e+01]
 [ 2.36056312e+00  6.48056460e+01]
 [ 2.04449852e+00  6.57543837e+01]
 [ 1.72852194e+00  6.67031507e+01]
 [ 1.41280949e+00  6.76520056e+01]
 [ 1.09740317e+00  6.86009623e+01]
 [ 7.81923662e-01  6.95498947e+01]
 [ 4.65906555e-01  7.04986482e+01]
 [ 1.48887031e-01  7.14470671e+01]
 [-1.69965823e-01  7.23948710e+01]
 [-4.92634489e-01  7.33413818e+01]
 [-8.21326044e-01  7.42858168e+01]
 [-1.15823222e+00  7.52273510e+01]
 [-1.50441960e+00  7.61655131e+01]
 [-1.85747010e+00  7.71011161e+01]
 [-2.21429047e+00  7.80352889e+01]
 [-2.57180364e+00  7.89691969e+01]
 [-2.92772085e+00  7.99037143e+01]
 [-3.28223090e+00  8.08387664e+01]
 [-3.63601778e+00  8.17740925e+01]
 [-3.98976600e+00  8.27094332e+01]
 [-4.34397464e+00  8.36445996e+01]
 [-4.69855557e+00  8.45796249e+01]
 [-5.05330415e+00  8.55145866e+01]
 [-5.40801591e+00  8.64495624e+01]
 [-5.76277202e+00  8.73845212e+01]
 [-6.11855769e+00  8.83190887e+01]
 [-6.47653533e+00  8.92528185e+01]
 [-6.83786407e+00  9.01852563e+01]
 [-7.20318195e+00  9.11161385e+01]
 [-7.57149784e+00  9.20458389e+01]
 [-7.94150172e+00  9.29748691e+01]
 [-8.31188661e+00  9.39037474e+01]
 [-8.68168932e+00  9.48328577e+01]
 [-9.05102411e+00  9.57621541e+01]
 [-9.42022022e+00  9.66915056e+01]
 [-9.78960695e+00  9.76207814e+01]
 [-1.01593578e+01  9.85499123e+01]
 [-1.05291585e+01  9.94790234e+01]
 [-1.08985971e+01  1.00408279e+02]
 [-1.12672617e+01  1.01337841e+02]
 [-1.16348453e+01  1.02267831e+02]
 [-1.20013698e+01  1.03198240e+02]
 [-1.23669236e+01  1.04129030e+02]
 [-1.27315953e+01  1.05060166e+02]
 [-1.30955083e+01  1.05991599e+02]
 [-1.34588942e+01  1.06923238e+02]
 [-1.38220069e+01  1.07854983e+02]
 [-1.41851000e+01  1.08786736e+02]
 [-1.45483594e+01  1.09718424e+02]
 [-1.49117600e+01  1.10650057e+02]
 [-1.52752341e+01  1.11581661e+02]
 [-1.56387137e+01  1.12513263e+02]
 [-1.60021489e+01  1.13444883e+02]
 [-1.63655451e+01  1.14376517e+02]
 [-1.67289188e+01  1.15308161e+02]
 [-1.70922867e+01  1.16239807e+02]
 [-1.74556516e+01  1.17171454e+02]
 [-1.78189737e+01  1.18103117e+02]
 [-1.81822043e+01  1.19034816e+02]
 [-1.85452950e+01  1.19966570e+02]
